"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"？","名詞","未知語","*","*","*","*","？","*","*","1","13","22","99.0"
"笑",""名詞","固有名詞","人名","名","*","*","笑","エミ","エミ"","1","13","23","99.0"
"クーリーアー","名詞","未知語","*","*","*","*","クーリーアー","*","*","6","14","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","14","2","99.0"
"アサヒ",""名詞","固有名詞","組織","*","*","*","アサヒ","アサヒ","アサヒ"","3","14","3","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","14","4","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","14","5","99.0"
"家",""名詞","一般","*","*","*","*","家","イエ","イエ"","1","14","6","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","14","7","99.0"
"冷え",""動詞","自立","*","*","一段","連用形","冷える","ヒエ","ヒエ"","2","14","8","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","14","9","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","14","10","99.0"
"心",""名詞","一般","*","*","*","*","心","ココロ","ココロ"","1","14","11","99.0"
"ウキウキ",""副詞","一般","*","*","*","*","ウキウキ","ウキウキ","ウキウキ"","4","14","12","99.0"
"わくわく",""副詞","助詞類接続","*","*","*","*","わくわく","ワクワク","ワクワク"","4","14","13","99.0"
"～","名詞","未知語","*","*","*","*","～","*","*","1","14","14","99.0"
"♪","名詞","未知語","*","*","*","*","♪","*","*","1","14","15","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","14","16","99.0"
"が",""接続詞","*","*","*","*","*","が","ガ","ガ"","1","14","17","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","14","18","99.0"
"頭",""名詞","一般","*","*","*","*","頭","アタマ","アタマ"","1","14","19","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","14","20","99.0"
"離れ",""動詞","自立","*","*","一段","未然形","離れる","ハナレ","ハナレ"","2","14","21","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","14","22","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","14","23","99.0"
"困る",""動詞","自立","*","*","五段・ラ行","基本形","困る","コマル","コマル"","2","14","24","99.0"
"な",""助詞","終助詞","*","*","*","*","な","ナ","ナ"","1","14","25","99.0"
"う",""感動詞","*","*","*","*","*","う","ウ","ウ"","1","14","26","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","14","27","99.0"
"でも",""接続詞","*","*","*","*","*","でも","デモ","デモ"","2","14","28","99.0"
"ノエル",""名詞","一般","*","*","*","*","ノエル","ノエル","ノエル"","3","14","29","99.0"
"キャロル",""名詞","固有名詞","人名","名","*","*","キャロル","キャロル","キャロル"","4","14","30","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","14","31","99.0"
"お",""接頭詞","名詞接続","*","*","*","*","お","オ","オ"","1","14","32","99.0"
"うち",""名詞","一般","*","*","*","*","うち","ウチ","ウチ"","2","14","33","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","14","34","99.0"
"冷え",""動詞","自立","*","*","一段","連用形","冷える","ヒエ","ヒエ"","2","14","35","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","14","36","99.0"
"いる",""動詞","非自立","*","*","一段","基本形","いる","イル","イル"","2","14","37","99.0"
"の",""名詞","非自立","一般","*","*","*","の","ノ","ノ"","1","14","38","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","14","39","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","14","40","99.0"
"キリン",""名詞","固有名詞","組織","*","*","*","キリン","キリン","キリン"","3","14","41","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","14","42","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","14","43","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","14","44","99.0"
"です",""助動詞","*","*","*","特殊・デス","基本形","です","デス","デス"","2","14","45","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","14","46","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","15","1","99.0"
"／","名詞","未知語","*","*","*","*","／","*","*","1","15","2","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","15","3","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","15","4","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","15","5","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","15","6","99.0"
"飛鳥",""名詞","一般","*","*","*","*","飛鳥","ヒチョウ","ヒチョー"","2","15","7","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","15","8","99.0"
"見",""動詞","自立","*","*","一段","連用形","見る","ミ","ミ"","1","15","9","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","15","10","99.0"
"み",""動詞","非自立","*","*","一段","連用形","みる","ミ","ミ"","1","15","11","99.0"
"たい",""助動詞","*","*","*","特殊・タイ","基本形","たい","タイ","タイ"","2","15","12","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","15","13","99.0"
"四つ",""名詞","一般","*","*","*","*","四つ","ヨッツ","ヨッツ"","2","15","14","99.0"
"葉",""名詞","一般","*","*","*","*","葉","ハ","ハ"","1","15","15","99.0"
"作る",""動詞","自立","*","*","五段・ラ行","基本形","作る","ツクル","ツクル"","2","15","16","99.0"
"やつ",""名詞","非自立","一般","*","*","*","やつ","ヤツ","ヤツ"","2","15","17","99.0"
"（","名詞","未知語","*","*","*","*","（","*","*","1","15","18","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","15","19","99.0"
"´",""記号","一般","*","*","*","*","´","´","´"","1","15","20","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","15","21","99.0"
"▽",""記号","一般","*","*","*","*","▽","▽","▽"","1","15","22","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","15","23","99.0"
"｀","名詞","未知語","*","*","*","*","｀","*","*","1","15","24","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","15","25","99.0"
"）","名詞","未知語","*","*","*","*","）","*","*","1","15","26","99.0"
"たいし",""動詞","自立","*","*","五段・サ行","連用形","たいす","タイシ","タイシ"","3","15","27","99.0"
"とい",""名詞","一般","*","*","*","*","とい","トイ","トイ"","2","15","28","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","15","29","99.0"
"こと",""名詞","一般","*","*","*","*","こと","コト","コト"","2","15","30","99.0"
"たけ",""名詞","一般","*","*","*","*","たけ","タケ","タケ"","2","15","31","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","15","32","99.0"
"かさん",""名詞","サ変接続","*","*","*","*","かさん","カサン","カサン"","3","15","33","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","15","34","99.0"
"うま",""名詞","一般","*","*","*","*","うま","ウマ","ウマ"","2","15","35","99.0"
"こさ",""動詞","自立","*","*","五段・サ行","未然形","こす","コサ","コサ"","2","15","36","99.0"
"ん",""助動詞","*","*","*","不変化型","基本形","ん","ン","ン"","1","15","37","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","15","38","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","15","39","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","15","40","99.0"
"よし",""副詞","一般","*","*","*","*","よし","ヨシ","ヨシ"","2","15","41","99.0"
"ださ",""動詞","自立","*","*","五段・サ行","未然形","だす","ダサ","ダサ"","2","15","42","99.0"
"ん",""助動詞","*","*","*","不変化型","基本形","ん","ン","ン"","1","15","43","99.0"
"で",""助動詞","*","*","*","特殊・ダ","連用形","だ","デ","デ"","1","15","44","99.0"
"も",""助詞","係助詞","*","*","*","*","も","モ","モ"","1","15","45","99.0"
"いい",""形容詞","自立","*","*","不変化型","基本形","いい","イイ","イイ"","2","15","46","99.0"
"な",""助詞","終助詞","*","*","*","*","な","ナ","ナ"","1","15","47","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","15","48","99.0"
"春",""名詞","副詞可能","*","*","*","*","春","ハル","ハル"","1","15","49","99.0"
"っぽい",""形容詞","接尾","*","*","形容詞・アウオ段","基本形","っぽい","ッポイ","ッポイ"","3","15","50","99.0"
"から",""助詞","接続助詞","*","*","*","*","から","カラ","カラ"","2","15","51","99.0"
"発泡",""名詞","サ変接続","*","*","*","*","発泡","ハッポウ","ハッポー"","2","16","1","99.0"
"酒",""名詞","一般","*","*","*","*","酒","サケ","サケ"","1","16","2","99.0"
"なんて",""助詞","副助詞","*","*","*","*","なんて","ナンテ","ナンテ"","3","16","3","99.0"
"飲める",""動詞","自立","*","*","一段","基本形","飲める","ノメル","ノメル"","3","16","4","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","16","5","99.0"
"ー","名詞","未知語","*","*","*","*","ー","*","*","1","16","6","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","16","7","99.0"
"て",""助詞","格助詞","連語","*","*","*","て","テ","テ"","1","16","8","99.0"
"思っ",""動詞","自立","*","*","五段・ワ行促音便","連用タ接続","思う","オモッ","オモッ"","2","16","9","99.0"
"て",""動詞","非自立","*","*","一段","連用形","てる","テ","テ"","1","16","10","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","16","11","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","16","12","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","16","13","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","16","14","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","16","15","99.0"
"だ",""助動詞","*","*","*","特殊・タ","基本形","だ","ダ","ダ"","1","16","16","99.0"
"その",""連体詞","*","*","*","*","*","その","ソノ","ソノ"","2","16","17","99.0"
"日",""名詞","非自立","副詞可能","*","*","*","日","ヒ","ヒ"","1","16","18","99.0"
"から",""助詞","格助詞","一般","*","*","*","から","カラ","カラ"","2","16","19","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","16","20","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","16","21","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","16","22","99.0"
"日々",""名詞","副詞可能","*","*","*","*","日々","ヒビ","ヒビ"","2","16","23","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","16","24","99.0"
"＠ｍｉｃｃｃｃｃｃａ","名詞","未知語","*","*","*","*","＠ｍｉｃｃｃｃｃｃａ","*","*","10","17","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","17","2","99.0"
"嗚呼",""感動詞","*","*","*","*","*","嗚呼","アア","アー"","2","17","3","99.0"
"（","名詞","未知語","*","*","*","*","（","*","*","1","17","4","99.0"
"泣","名詞","未知語","*","*","*","*","泣","*","*","1","17","5","99.0"
"）","名詞","未知語","*","*","*","*","）","*","*","1","17","6","99.0"
"なる",""動詞","自立","*","*","五段・ラ行","基本形","なる","ナル","ナル"","2","17","7","99.0"
"へそ",""名詞","一般","*","*","*","*","へそ","ヘソ","ヘソ"","2","17","8","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","17","9","99.0"
"飲め",""動詞","自立","*","*","一段","連用形","飲める","ノメ","ノメ"","2","17","10","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","17","11","99.0"
"よ",""助詞","終助詞","*","*","*","*","よ","ヨ","ヨ"","1","17","12","99.0"
"～","名詞","未知語","*","*","*","*","～","*","*","1","17","13","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","17","14","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","17","15","99.0"
"と",""助詞","格助詞","一般","*","*","*","と","ト","ト"","1","17","16","99.0"
"割っ",""動詞","自立","*","*","五段・ラ行","連用タ接続","割る","ワッ","ワッ"","2","17","17","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","17","18","99.0"
"ん",""名詞","非自立","一般","*","*","*","ん","ン","ン"","1","17","19","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","17","20","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","17","21","99.0"
"美味",""名詞","形容動詞語幹","*","*","*","*","美味","ビミ","ビミ"","2","17","22","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","17","23","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","17","24","99.0"
"よ",""助詞","終助詞","*","*","*","*","よ","ヨ","ヨ"","1","17","25","99.0"
"（＞","名詞","未知語","*","*","*","*","（＞","*","*","2","17","26","99.0"
"Σ",""記号","アルファベット","*","*","*","*","Σ","シグマ","シグマ"","1","17","27","99.0"
"＜）","名詞","未知語","*","*","*","*","＜）","*","*","2","17","28","99.0"
"お",""接頭詞","名詞接続","*","*","*","*","お","オ","オ"","1","17","29","99.0"
"仕事",""名詞","サ変接続","*","*","*","*","仕事","シゴト","シゴト"","2","17","30","99.0"
"頑張っ",""動詞","自立","*","*","五段・ラ行","連用タ接続","頑張る","ガンバッ","ガンバッ"","3","17","31","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","17","32","99.0"
"ね",""動詞","自立","*","*","一段","連用形","ねる","ネ","ネ"","1","17","33","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","17","34","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","18","1","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","18","2","99.0"
